caseid,midprice
143,3.355445
144,3.3652956
145,3.355148
146,3.35529
147,3.3526022
148,3.3517358
149,3.3480992
150,3.3494582
151,3.3594365
152,3.3595805
153,3.359756
154,3.360934
155,3.3594987
156,3.3594127
157,3.369345
158,3.3648815
159,3.3661673
160,3.3642974
161,3.3554606
162,3.3593369
163,3.3568988
164,3.354772
165,3.3554406
166,3.3578405
167,3.3578293
168,3.3624127
169,3.359106
170,3.3522568
171,3.3506584
172,3.347719
173,3.345779
174,3.3468997
175,3.3456056
176,3.3430305
177,3.345413
178,3.3484917
179,3.3485417
180,3.3502662
181,3.345027
182,3.3406842
183,3.3454418
184,3.3489609
185,3.3506086
186,3.3495097
187,3.3610616
188,3.3639264
189,3.366909
190,3.3619115
191,3.362745
192,3.360611
193,3.3594193
194,3.36287
195,3.3598158
196,3.36537
197,3.3595507
198,3.3584394
199,3.3561301
200,3.354715
201,3.3524568
202,3.353877
203,3.3536522
204,3.3535905
205,3.351897
206,3.3545482
207,3.3525488
208,3.3555992
209,3.3547962
210,3.3544066
211,3.3486183
212,3.3486865
213,3.3485932
214,3.3519063
215,3.3507142
216,3.3488219
217,3.3477
218,3.3467543
219,3.3470094
220,3.345915
221,3.3427467
222,3.344369
223,3.3444312
224,3.342802
225,3.3444805
226,3.349253
227,3.3496587
228,3.3479404
229,3.3423133
230,3.3378265
231,3.338157
232,3.3414555
233,3.3408659
234,3.3432505
235,3.3432024
236,3.3441885
237,3.344811
238,3.3487163
239,3.358856
240,3.3554835
241,3.3513348
242,3.3505576
243,3.3518262
244,3.3668902
245,3.3686392
246,3.3758886
247,3.3687034
248,3.3693206
249,3.3674927
250,3.370334
251,3.3756227
252,3.3742802
253,3.3695812
254,3.3669457
255,3.3626647
256,3.3614416
257,3.3629446
258,3.3578053
259,3.3543737
260,3.3537014
261,3.3521314
262,3.3530066
263,3.3524196
264,3.3537188
265,3.349503
266,3.3446488
267,3.344474
268,3.3381226
269,3.3303795
270,3.3343365
271,3.3321517
272,3.3308864
273,3.3314056
274,3.3194442
275,3.321157
276,3.3229172
277,3.330504
278,3.3305027
279,3.3260932
280,3.327153
281,3.3299518
282,3.329521
283,3.335013
284,3.3366535
285,3.3400142
286,3.3379295
287,3.3375328
288,3.3388338
289,3.3368979
290,3.337419
291,3.3378963
292,3.3426487
293,3.3510232
294,3.3538318
295,3.351892
296,3.3515232
297,3.3500733
298,3.351467
299,3.3478363
300,3.3478315
301,3.3477273
302,3.345297
303,3.3455307
304,3.3458238
305,3.3407795
306,3.3401515
307,3.3406677
308,3.3416996
309,3.3426373
310,3.3419473
311,3.3547103
312,3.3539925
313,3.3484867
314,3.34547
315,3.3435655
316,3.3418343
317,3.3402486
318,3.3415356
319,3.3408482
320,3.3449757
321,3.3475542
322,3.346546
323,3.3457375
324,3.344558
325,3.34312
326,3.3425322
327,3.33996
328,3.3367896
329,3.339541
330,3.3396897
331,3.3422213
332,3.3447876
333,3.2425501
334,3.2466934
335,3.2606509
336,3.254885
337,3.2543328
338,3.26251
339,3.2565918
340,3.2607791
341,3.2649972
342,3.2695973
343,3.2639198
344,3.260996
345,3.2623925
346,3.2569919
347,3.251614
348,3.2534862
349,3.256715
350,3.2553651
351,3.2570345
352,3.2647283
353,3.2633348
354,3.2629054
355,3.2684102
356,3.268417
357,3.2652774
358,3.2613182
359,3.2612174
360,3.2602394
361,3.2556794
362,3.2539775
363,3.2564297
364,3.2541187
365,3.2472243
366,3.2432578
367,3.2340593
368,3.234609
369,3.2304716
370,3.233405
371,3.2348833
372,3.234073
373,3.2367623
374,3.2224252
375,3.229597
376,3.2218864
377,3.2078319
378,3.2104857
379,3.2077792
380,3.215494
381,3.2144663
382,3.2143857
383,3.2133317
384,3.2066514
385,3.2072282
386,3.2068925
387,3.2012732
388,3.195391
389,3.1952755
390,3.1966612
391,3.1994798
392,3.2032042
393,3.2023308
394,3.2053046
395,3.2130485
396,3.2160451
397,3.213876
398,3.2117743
399,3.2114456
400,3.2100918
401,3.213157
402,3.2086008
403,3.207632
404,3.2049923
405,3.2054331
406,3.2016237
407,3.2007356
408,3.2030778
409,3.2045197
410,3.1990066
411,3.199051
412,3.1948092
413,3.1932778
414,3.1914928
415,3.1838121
416,3.178951
417,3.172348
418,3.179677
419,3.17194
420,3.1691554
421,3.1585524
422,3.1563354
423,3.1553307
424,3.1603677
425,3.1607563
426,3.1657481
427,3.1748235
428,3.1754515
429,3.186206
430,3.1791184
431,3.1899495
432,3.199376
433,3.192267
434,3.1904879
435,3.1876001
436,3.1936262
437,3.1917531
438,3.1900055
439,3.1897159
440,3.1870663
441,3.1861558
442,3.1856937
443,3.184483
444,3.1844525
445,3.181642
446,3.1919413
447,3.1949117
448,3.191949
449,3.1941936
450,3.1906507
451,3.1888032
452,3.1830447
453,3.180761
454,3.1817245
455,3.1782618
456,3.1775455
457,3.1783986
458,3.1767566
459,3.1660666
460,3.1639464
461,3.1670258
462,3.1638846
463,3.1615336
464,3.1734576
465,3.1751664
466,3.1777136
467,3.1735532
468,3.1747448
469,3.1742182
470,3.1826687
471,3.186792
472,3.1944938
473,3.2006788
474,3.2039428
475,3.205797
476,3.2093964
477,3.2141376
478,3.2185333
479,3.2185056
480,3.225102
481,3.2257879
482,3.2214923
483,3.220501
484,3.2204714
485,3.2205207
486,3.22452
487,3.2345755
488,3.234562
489,3.2312179
490,3.2288795
491,3.2286408
492,3.2278774
493,3.2287402
494,3.234089
495,3.230848
496,3.2248394
497,3.2241123
498,3.2238452
499,3.2274134
500,3.2311773
501,3.2327063
502,3.2367957
503,3.2359557
504,3.2293634
505,3.2257166
506,3.2269104
507,3.2278483
508,3.2317948
509,3.235321
510,3.234498
511,3.2347105
512,3.2453337
513,3.246553
514,3.2414942
515,3.2355509
516,3.2373064
517,3.2372086
518,3.2348733
519,3.2383273
520,3.2440748
521,3.2401707
522,3.2372737
523,3.2345958
524,3.234227
525,3.2299795
526,3.2247617
527,3.2205386
528,3.2305899
529,3.2326968
530,3.218996
531,3.2174373
532,3.217934
533,3.2188113
534,3.2248893
535,3.2269144
536,3.2308347
537,3.2347612
538,3.2366252
539,3.2366846
540,3.2385554
541,3.2338755
542,3.232835
543,3.2280436
544,3.2277865
545,3.227129
546,3.2242355
547,3.2256994
548,3.2248094
549,3.225533
550,3.220598
551,3.2178228
552,3.217794
553,3.2209332
554,3.2220392
555,3.2199135
556,3.2202618
557,3.2240028
558,3.2231472
559,3.2211773
560,3.2162712
561,3.2188978
562,3.2181497
563,3.2190952
564,3.2171714
565,3.2135582
566,3.212444
567,3.213705
568,3.2083151
569,3.2037044
570,3.2015336
571,3.2028658
572,3.2047365
573,3.2059722
574,3.2080016
575,3.2064385
576,3.206634
577,3.2079308
578,3.2090743
579,3.2111409
580,3.2098246
581,3.2068708
582,3.204465
583,3.2058716
584,3.2076066
585,3.2129552
586,3.21411
587,3.2098055
588,3.2100239
589,3.207785
590,3.2100446
591,3.2129636
592,3.2082415
593,3.2083166
594,3.2068472
595,3.206942
596,3.2080805
597,3.2035258
598,3.2041037
599,3.205349
600,3.2037032
601,3.2009914
602,3.199153
603,3.1967888
604,3.196101
605,3.191968
606,3.1916814
607,3.193208
608,3.1971903
609,3.194687
610,3.1933541
611,3.1904202
612,3.189127
613,3.1903927
614,3.1894858
615,3.1872013
616,3.1874373
617,3.1873872
618,3.1873846
619,3.1855736
620,3.1844723
621,3.2011926
622,3.2013888
623,3.2014694
624,3.196661
625,3.1940684
626,3.1956265
627,3.1950915
628,3.1958675
629,3.1958964
630,3.1963782
631,3.2098806
632,3.220339
633,3.2215428
634,3.2233307
635,3.2247977
636,3.2222364
637,3.223025
638,3.2230866
639,3.2159488
640,3.2153802
641,3.2145693
642,3.212821
643,3.210239
644,3.2110329
645,3.2074957
646,3.2034836
647,3.204167
648,3.2008188
649,3.195674
650,3.1975763
651,3.198588
652,3.1968584
653,3.199065
654,3.2033253
655,3.199217
656,3.1942818
657,3.1923575
658,3.1916502
659,3.1915634
660,3.1885614
661,3.1954036
662,3.193753
663,3.1961854
664,3.1970015
665,3.19464
666,3.1890903
667,3.1885996
668,3.1840954
669,3.185389
670,3.1872003
671,3.1885698
